Reconstruct, Original, Codec, BPP, MS-SSIM (PyTorch), MS-SSIM (IQA), PSNR_Y, PSNR_U, PSNR_V, VIF, FSIM, NLPD, IW-SSIM, VMAF, PSNR_HVS, MAC/pxl, DecGPU, DecCPU, EncGPU, EncCPU
EPFL_00003_945x840_24bit_sRGB_001.png, 00003_945x840.png, EPFL, -1, 0.9988657832145691, 0.9988616108894348, 48.64685680962359, 44.25347343706922, 50.12025406288444, 0.8741919994354248, 0.999636173248291, 0.030750347301363945, 0.9989170432090759, 95.676198, 48.401624204301974, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_002.png, 00003_945x840.png, EPFL, -1, 0.9986025094985962, 0.9985966682434082, 47.70577037884264, 43.73430279468152, 49.545015896816864, 0.852484405040741, 0.9995264410972595, 0.0342620424926281, 0.9986023902893066, 95.467844, 47.28429275141245, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_003.png, 00003_945x840.png, EPFL, -1, 0.9979298114776611, 0.9979157447814941, 45.75237556281633, 42.63158752067535, 48.42005688102284, 0.8011893630027771, 0.9991818070411682, 0.04267274960875511, 0.9975535273551941, 94.757652, 45.05368477710008, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_004.png, 00003_945x840.png, EPFL, -1, 0.9973872900009155, 0.9973669052124023, 44.35015702685723, 41.79127709333894, 47.56914075276703, 0.763989269733429, 0.9988757967948914, 0.048743586987257004, 0.9965248107910156, 94.043893, 43.54592838023077, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_005.png, 00003_945x840.png, EPFL, -1, 0.9966981410980225, 0.9966722726821899, 42.93881515584872, 41.16780082211515, 47.18664988957989, 0.7263693809509277, 0.9984759092330933, 0.05571872368454933, 0.9950897693634033, 93.286522, 42.09904804084374, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_006.png, 00003_945x840.png, EPFL, -1, 0.995453953742981, 0.9954180717468262, 41.13350875082297, 40.410453207957225, 46.39186567258759, 0.6764069199562073, 0.997666597366333, 0.06647104024887085, 0.9922710061073303, 91.648918, 40.04580645474741, None, None, None, None, None
EPFL_00003_945x840_24bit_sRGB_007.png, 00003_945x840.png, EPFL, -1, 0.9939092397689819, 0.9938614964485168, 39.66910222367022, 39.84007251334836, 45.73224691284913, 0.6347191333770752, 0.9966034293174744, 0.07723482698202133, 0.9886413216590881, 89.842421, 38.32296895076572, None, None, None, None, None
EPFL_00004_2000x2496_24bit_sRGB_001.png, 00004_2000x2496.png, EPFL, -1, 0.9977748990058899, 0.9977563619613647, 43.69195932364775, 43.1410354102621, 42.79248804900084, 0.7868295311927795, 0.9999362826347351, 0.04725535586476326, 0.9974519610404968, 94.765323, 43.101186402063945, None, None, None, None, None
EPFL_00004_2000x2496_24bit_sRGB_002.png, 00004_2000x2496.png, EPFL, -1, 0.9967259764671326, 0.996697723865509, 41.8584542151797, 42.27883491798761, 41.79418627794907, 0.7312690615653992, 0.9998985528945923, 0.05770660564303398, 0.9960924386978149, 94.089318, 41.272649851604875, None, None, None, None, None
EPFL_00004_2000x2496_24bit_sRGB_003.png, 00004_2000x2496.png, EPFL, -1, 0.9953141808509827, 0.9952753186225891, 40.13995527050487, 41.64073236067176, 41.45441426874676, 0.6741228699684143, 0.9998421669006348, 0.06932918727397919, 0.9942196607589722, 93.276646, 39.57256575288985, None, None, None, None, None
